{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00028825817901408573, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.000581851488625, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.951219520265113e-05, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0001604999095008, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 8.675473667136374e-05, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.000175124106028, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.709512373572814e-05, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0000345051038264, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.417024006615621e-05, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0000286040063784, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0027574909953990583, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0018426299297223, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0015486113341261348, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0010348579692396, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0014330333588149235, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0009576274873218, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0002244251434937832, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.000149956833054, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00013844930074399326, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.000092532203106, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 5.3459594836078015e-05, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0000357265244872, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.012446730738265568, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0449928157576358, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004957034855455462, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0179187785554815, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.002343235971332824, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.008470474213593, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0007010999293482387, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.002534300008655, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0011964236274116153, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.00432484195171, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0003841440324665171, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0013886147228632, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01087957903584817, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0457758474558854, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0024906566887930278, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0104795218068618, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0017966335924677205, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0075592963504905, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
