{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(5.608654499108178e-07), 'shap_norm_sq': np.float64(3.39109585466084)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(2.0468851730026834e-14), 'shap_norm_sq': np.float64(3.39109585466084)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.7865904623365832e-14), 'shap_norm_sq': np.float64(3.39109585466084)}
{'sample_size': 15, 'difference': -7, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.9939630949502873), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 30, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.885077706990559), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7637971874675468), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.6154942434784293), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.16356586065904624), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.04470648709625723), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.002904930167025041), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.834495851822309e-05), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(9.493088374612062e-06), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(3.2693707740236064e-06), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.4694555121599353e-06), 'shap_norm_sq': np.float64(4.54154695056355)}
{'sample_size': 15, 'difference': -7, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.9703597210534028), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 30, 'difference': 1, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.9144470956832705), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.7144477244051971), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.5355460857551595), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.07965615953377074), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.046371526587227846), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(0.0019826370957248055), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(4.900631238050067e-05), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 3840, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.2872263491455662e-05), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 7680, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(4.773675187059098e-06), 'shap_norm_sq': np.float64(1.708127072925964)}
{'sample_size': 15360, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': np.float64(1.9350899492157374e-06), 'shap_norm_sq': np.float64(1.708127072925964)}
