{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005101524998733752, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0015729107608941585, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0006781331717522583, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00030737771219268396, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00015011089236879538, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.009237753105993441, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.004332769535360972, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0015226104013996166, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.000797996304119142, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0003905655735862229, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00017678525329861474, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0035028258049845757, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0008363818448835132, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0005255488491668653, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00029595438196985437, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 8.36603734328924e-05, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 4.070698629345836e-05, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.01363786072458606, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.004130696996430802, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001990347605042172, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0010353350691997495, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0005321084888963511, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00016582288532599542, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.003497707607114342, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0011697146195791127, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0005300340215649962, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00024905619844018816, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00012054057672246275, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 4.5968668305617665e-05, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0030505414856248237, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0011678657465230581, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0003905488044205189, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0002347571858692902, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00011023218467423142, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 4.4479284536794895e-05, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.00025630662892765446, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 7.464542486917481e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 4.1031332690242773e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.8611565026511668e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.0821192492287813e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 5.520474210273021e-06, 'shap_norm_sq': 20.065578469079746}
