{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 5.566503381249238e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496213, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.1486142239531593e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584467, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 1.1486142239531593e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584467, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 1.1486142239531593e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584467, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 1.1486142239531593e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584467, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 1.1486142239531593e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584467, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 1.1486142239531593e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584467, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676189e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676189e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676189e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676189e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 7.419403795676189e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
