{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.006716436957321543, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0044881928227711, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.005081461809125942, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0033955789591562, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0005111496825550057, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0003415822902855, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 1.2865917661318103e-12, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 0.999999999999173, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.01427418313299407, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0515982783917566, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.008981548790641813, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0324666325641192, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0005278761467434104, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0019081320843928, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00041993694266075895, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0015179745998757, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00010999059708279616, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0003975915598646, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 2.8455659604292745e-13, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 0.9999999999991969, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.009270362095903078, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0390051529916444, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0022730364926697288, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0095637404262525, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0008684308938382984, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.003653898905532, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
