{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 5.566503381233906e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496209, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.1486142250345198e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584473, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 1.1486142238521066e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584469, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 1.1486142247192218e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584473, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 1.1486142254128304e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584469, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 1.1486142250844242e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584476, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 1.1486142255548307e-13, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 0.9999999999584473, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 7.419403795715023e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 7.4194037956545545e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 7.4194037956699144e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 7.419403795654845e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.999999937461024, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 7.419403795685953e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610243, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 7.419403795684305e-09, 'shap_norm_sq': 3.126301992581422e-07, 'weighted_error': 0.9999999374610242, 'gamma': 0.07876975402459205, 'normalized_gamma': 250000.0}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 2.0640532375226435e-22, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 1.1342995269268582e-22, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 2.305789202277548e-22, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 1.98674748988164e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 7.438029684766283e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 1.98674748991918e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 2.3708719620192527e-22, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 1.98674748986287e-09, 'shap_norm_sq': 1.0606172901349399e-06, 'weighted_error': 4.555793181919348e-23, 'gamma': 1.986747489870529e-09, 'normalized_gamma': 0.0019}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.44555855507372e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387716, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 1.4455585553877232e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387714, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 1.445558551928831e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387714, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 1.4455585549443155e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387716, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 1.4455585551106397e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387718, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 1.4455585552153072e-13, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 0.9999999999387716, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807041663e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123597, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 1.2830421807008298e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123594, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 1.283042180701028e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872123594, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
