{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.10385367847384025), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(4.5132212432254235)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.03818833724053742), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(2.2918574302809787)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.011342529497111085), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1.383700918716562)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.003260698287001621), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1.110304846061826)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9594233315433071), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(3.4621397809843875)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.02298303403143), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(3.6252511481287137)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9333673613712957), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(3.3952731095842563)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.218895351357717), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(4.12801486040559)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.23140739681974548), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.5938540519091542)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.2344336171335128), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.6016202589035968)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.03807525296660198), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.097711340737467)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.030605746916296347), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.078542667117779)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.003819233791693862), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.0098011794695727)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002649374875821758), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.0067990114242267)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0007378340850742914), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.001893485331828)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9179711902877609), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(8.861543440336733)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.768470435401036), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(7.581210800966051)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.6386095678827945), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(15.03311839392145)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.7689754701556337), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(24.713614162941834)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.5737004472750753), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(14.477233622941487)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.25417134467075675), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(3.1767343030109823)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.09432338611291473), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.8077893928005944)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.04676027248086882), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.4004565148056771)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.009392551007897636), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.080438211451197)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.007538655195783459), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.0645613476558018)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0023610785043449104), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.020220402425446)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9185030905268303), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(6.525400154370815)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.0033661348893477), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(7.035907494807163)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.942935914370502), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(6.672379818602355)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.4745713821834484), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(3.854859508817285)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.2542779958418881), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(2.5296494907698426)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.10971998178468033), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.660037848140092)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.03796919729370469), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.228409769419622)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.013497870172356848), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.0811985603896987)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005670483287919537), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.0341116974296447)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.000688469731063135), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.0041415819045212)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00029484157163486396), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.0017736595911748)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9929425946500996), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.6357582938043054)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9695300500232436), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.620767588168309)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.8749580580228742), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(2.2004921149387395)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.230948078536241), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(3.7089777965881474)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.1030352367220466), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(2.9868012429888595)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.36323944935931224), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.2325737788314164)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.21526514799616106), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.1378292362394284)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.05819779162491667), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.0372627198861046)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.02258969694238515), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.0144636663587618)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.009831972782778874), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.0062951958213464)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002874018527467077), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.001840164955525)}
