{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 5.991341500349401e-06, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 1.4463614624838985e-05, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.013735665177092092, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.01807348164503954, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.008406498731112816, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.0005728829634052427, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0004548004404476616, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0009484590493472146, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.07013015524942746, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.04529171235599106, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.025599765105144914, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.010002966842370639, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0053878475050181986, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.003203129213725495, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.04487698853790106, 'shap_norm_sq': 59056.80155040595}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.007665588098903895, 'shap_norm_sq': 59056.80155040595}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.008336077904448649, 'shap_norm_sq': 59056.80155040595}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.0011972159576567206, 'shap_norm_sq': 59056.80155040595}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0017416328720276822, 'shap_norm_sq': 59056.80155040595}
