{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(34.009676836410534), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(17.092557537828203), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(6.884865229100762), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.69417796983154), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.4278126656095416), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.028563172175882), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0223635764979275), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0577486200336672), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.5415335493288753), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.4200584067683604), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.28744378377276153), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05675384609850957), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.02555156939647111), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.010823773474923509), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.004522468603838516), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0022859452714819126), 'shap_norm_sq': np.float64(175.18114874158692)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(40.57823858068548), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(93.77239761329207), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(186.90166343809176), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(501.55474621368614), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(135.22338711487222), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(105.09316928483749), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(26.831240347646816), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(11.83741945689066), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.482304841783288), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.0141267662366147), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9905361147049655), 'shap_norm_sq': np.float64(14.238007613981319)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(15.933038667494886), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(41.16189922691537), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(63.03326834254442), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(204.08242887898695), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(55.28514677308552), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(49.27146865258808), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(7.777242548511335), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.6189733692699773), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.5496600307730377), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.7152856093676658), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.3263198549888808), 'shap_norm_sq': np.float64(32.72374162422468)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(4.17668757741352), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(9.963800222046043), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(14.727886500833625), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(49.428858271217074), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(21.30563986608497), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(11.346656725206177), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.076832404490974), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.3294857189614748), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.6137618304501886), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.22878358788731273), 'shap_norm_sq': np.float64(45.24589787029242)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.12559199917850847), 'shap_norm_sq': np.float64(45.24589787029242)}
