{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.007270248427999923, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.058342817757519, 'gamma': 0.14094846504571631, 'normalized_gamma': 2.5}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.003301738036933463, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0264961214128647, 'gamma': 0.14094846504571631, 'normalized_gamma': 2.5}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0010881342959824824, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0087321404305865, 'gamma': 0.14094846504571631, 'normalized_gamma': 2.5}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 4.809609942224889e-05, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.0003859730965394, 'gamma': 0.14094846504571631, 'normalized_gamma': 2.5}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0003898729071948021, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.003128666843478, 'gamma': 0.14094846504571631, 'normalized_gamma': 2.5}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 5.743000391350651e-06, 'shap_norm_sq': 0.05597135137190852, 'weighted_error': 1.000046092939117, 'gamma': 0.14094846504571631, 'normalized_gamma': 2.5}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.013102149636606795, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.018727163545181, 'gamma': 0.8202107611818339, 'normalized_gamma': 400.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0032755517776195914, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0046817980383111, 'gamma': 0.8202107611818339, 'normalized_gamma': 400.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0014557832303070254, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.002080793642128, 'gamma': 0.8202107611818339, 'normalized_gamma': 400.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0022139208683487153, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.003164423967974, 'gamma': 0.8202107611818339, 'normalized_gamma': 400.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00017239883985495184, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.0002464095745154, 'gamma': 0.8202107611818339, 'normalized_gamma': 400.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 9.073417011357472e-06, 'shap_norm_sq': 0.0020599155684413294, 'weighted_error': 1.000012969136899, 'gamma': 0.8202107611818339, 'normalized_gamma': 400.0}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.002309602287391301, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0359987023257313, 'gamma': 0.07562590313553702, 'normalized_gamma': 1.2}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00632479925767015, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0985812895544163, 'gamma': 0.07562590313553702, 'normalized_gamma': 1.2}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0014442737866771005, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0225111937258287, 'gamma': 0.07562590313553702, 'normalized_gamma': 1.2}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0006676226524982082, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.010405853828345, 'gamma': 0.07562590313553702, 'normalized_gamma': 1.2}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00012374274143134867, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0019287285587202, 'gamma': 0.07562590313553702, 'normalized_gamma': 1.2}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00031746523959034844, 'shap_norm_sq': 0.06425485899656536, 'weighted_error': 1.0049482064905206, 'gamma': 0.07562590313553702, 'normalized_gamma': 1.2}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0007125918129639315, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0019348500722147, 'gamma': 0.5669633206044786, 'normalized_gamma': 5.7}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0003365936888631895, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.000913922030979, 'gamma': 0.5669633206044786, 'normalized_gamma': 5.7}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.00038121964625402883, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0010350841503002, 'gamma': 0.5669633206044786, 'normalized_gamma': 5.7}
