{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.010989978729201844, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0397265025560638, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.007967598423072625, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0288015177071717, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.013584226882827318, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0491047577768318, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.004603058026001505, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0166393816398471, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0013013938166631332, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0047043920069354, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 5.859222845588252e-05, 'shap_norm_sq': 2008.3821122042905, 'weighted_error': 1.0002117983488759, 'gamma': 0.27992071798071594, 'normalized_gamma': 0.00014}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.022786910331580885, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.095875690651112, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.0031820893218300664, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0133885976612482, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.0013941037726379253, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0058657842413976, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.0012476492788444716, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0052495269706383, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0012762191611245366, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0053696311785545, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.00043294696407008697, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0018215813306208, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.0005594046011932071, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0082402657252767, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 3.49639512139442e-05, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0005150143283468, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 5.073734746336973e-13, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 0.9999999999937912, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 6.19651507854632e-06, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.000091301464729, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 2.595314482598338e-05, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0003823383283257, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 6.77742244173088e-07, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0000099862110277, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.014774229579195832, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0857350982852516, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.004192339289615774, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.024328587774477, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.0014209079236958146, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.00824571976118, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.001433256870292038, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.008317406512196, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0016365727410725488, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0094972284737431, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0013139113327798161, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0076245396624517, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.03884622880024827, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.1186931167197356, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.010403366342992, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.031787389870862, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.008793165645402458, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.026867588239136, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.0025541588115635255, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0078042472136868, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0019254111006559657, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0058831595908924, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0010218117461735386, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0031220543528325, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.02148361507360679, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0117015232313873, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.016167529614292624, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0088059360214587, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.006256632503276688, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0034077946688127, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.008592611675258528, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.00468017296723, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
