{'sample_size': 4800, 'difference': 28, 'noise': 0, 'n': 60, 'shap_error': 5.408488698871196e-06, 'shap_norm_sq': 8.83670582099933}
{'sample_size': 9600, 'difference': -24, 'noise': 0, 'n': 60, 'shap_error': 2.1486081364770773e-06, 'shap_norm_sq': 8.83670582099933}
{'sample_size': 300, 'difference': -8, 'noise': 0, 'n': 60, 'shap_error': 0.007238203747461969, 'shap_norm_sq': 12.498060934479634}
{'sample_size': 600, 'difference': 18, 'noise': 0, 'n': 60, 'shap_error': 0.002707411462112269, 'shap_norm_sq': 12.498060934479634}
{'sample_size': 1200, 'difference': -30, 'noise': 0, 'n': 60, 'shap_error': 0.0009683721796985698, 'shap_norm_sq': 12.498060934479634}
{'sample_size': 2400, 'difference': -20, 'noise': 0, 'n': 60, 'shap_error': 0.0006330729404940012, 'shap_norm_sq': 12.498060934479634}
{'sample_size': 4800, 'difference': 36, 'noise': 0, 'n': 60, 'shap_error': 0.0002594019569544104, 'shap_norm_sq': 12.498060934479634}
{'sample_size': 9600, 'difference': -214, 'noise': 0, 'n': 60, 'shap_error': 0.00011537165524724141, 'shap_norm_sq': 12.498060934479634}
{'sample_size': 300, 'difference': 22, 'noise': 0, 'n': 60, 'shap_error': 0.0007169280335068238, 'shap_norm_sq': 8.554680434347063}
{'sample_size': 600, 'difference': -28, 'noise': 0, 'n': 60, 'shap_error': 0.00036247897651926043, 'shap_norm_sq': 8.554680434347063}
{'sample_size': 1200, 'difference': -2, 'noise': 0, 'n': 60, 'shap_error': 0.00015949603508849596, 'shap_norm_sq': 8.554680434347063}
{'sample_size': 2400, 'difference': -56, 'noise': 0, 'n': 60, 'shap_error': 0.00010090642971720881, 'shap_norm_sq': 8.554680434347063}
{'sample_size': 4800, 'difference': -40, 'noise': 0, 'n': 60, 'shap_error': 3.766040698518541e-05, 'shap_norm_sq': 8.554680434347063}
{'sample_size': 9600, 'difference': 122, 'noise': 0, 'n': 60, 'shap_error': 2.0459655864522267e-05, 'shap_norm_sq': 8.554680434347063}
{'sample_size': 300, 'difference': 12, 'noise': 0, 'n': 60, 'shap_error': 0.0020884681223696184, 'shap_norm_sq': 4.5076041950103125}
{'sample_size': 600, 'difference': -6, 'noise': 0, 'n': 60, 'shap_error': 0.0007423005683192842, 'shap_norm_sq': 4.5076041950103125}
{'sample_size': 1200, 'difference': -16, 'noise': 0, 'n': 60, 'shap_error': 0.00041456271345191467, 'shap_norm_sq': 4.5076041950103125}
{'sample_size': 2400, 'difference': -4, 'noise': 0, 'n': 60, 'shap_error': 0.00020940527551525085, 'shap_norm_sq': 4.5076041950103125}
{'sample_size': 4800, 'difference': -6, 'noise': 0, 'n': 60, 'shap_error': 7.070835833600933e-05, 'shap_norm_sq': 4.5076041950103125}
{'sample_size': 9600, 'difference': -20, 'noise': 0, 'n': 60, 'shap_error': 4.898832570267918e-05, 'shap_norm_sq': 4.5076041950103125}
{'sample_size': 300, 'difference': -28, 'noise': 0, 'n': 60, 'shap_error': 0.013797461094049873, 'shap_norm_sq': 7.179050243085241}
{'sample_size': 600, 'difference': 14, 'noise': 0, 'n': 60, 'shap_error': 0.0032254941130915728, 'shap_norm_sq': 7.179050243085241}
{'sample_size': 1200, 'difference': 2, 'noise': 0, 'n': 60, 'shap_error': 0.0013814276707812977, 'shap_norm_sq': 7.179050243085241}
{'sample_size': 2400, 'difference': 110, 'noise': 0, 'n': 60, 'shap_error': 0.000716384164327366, 'shap_norm_sq': 7.179050243085241}
{'sample_size': 4800, 'difference': 6, 'noise': 0, 'n': 60, 'shap_error': 0.00039160545688130026, 'shap_norm_sq': 7.179050243085241}
{'sample_size': 9600, 'difference': -138, 'noise': 0, 'n': 60, 'shap_error': 0.00013781700213801116, 'shap_norm_sq': 7.179050243085241}
{'sample_size': 300, 'difference': 6, 'noise': 0, 'n': 60, 'shap_error': 0.008404954011588363, 'shap_norm_sq': 16.502075089579016}
{'sample_size': 600, 'difference': 8, 'noise': 0, 'n': 60, 'shap_error': 0.0031604056019141507, 'shap_norm_sq': 16.502075089579016}
{'sample_size': 1200, 'difference': 30, 'noise': 0, 'n': 60, 'shap_error': 0.0010601241738482571, 'shap_norm_sq': 16.502075089579016}
{'sample_size': 2400, 'difference': -84, 'noise': 0, 'n': 60, 'shap_error': 0.0009380133318516238, 'shap_norm_sq': 16.502075089579016}
{'sample_size': 4800, 'difference': 130, 'noise': 0, 'n': 60, 'shap_error': 0.00025121765977283156, 'shap_norm_sq': 16.502075089579016}
{'sample_size': 9600, 'difference': -104, 'noise': 0, 'n': 60, 'shap_error': 0.00010624016461138187, 'shap_norm_sq': 16.502075089579016}
{'sample_size': 300, 'difference': 4, 'noise': 0, 'n': 60, 'shap_error': 0.0030428340959632303, 'shap_norm_sq': 7.033894026962379}
{'sample_size': 600, 'difference': -2, 'noise': 0, 'n': 60, 'shap_error': 0.0014344811156999167, 'shap_norm_sq': 7.033894026962379}
{'sample_size': 1200, 'difference': -12, 'noise': 0, 'n': 60, 'shap_error': 0.0006426269182399685, 'shap_norm_sq': 7.033894026962379}
{'sample_size': 2400, 'difference': -48, 'noise': 0, 'n': 60, 'shap_error': 0.0003070182805679878, 'shap_norm_sq': 7.033894026962379}
{'sample_size': 4800, 'difference': -12, 'noise': 0, 'n': 60, 'shap_error': 0.00011466000407751785, 'shap_norm_sq': 7.033894026962379}
{'sample_size': 9600, 'difference': -182, 'noise': 0, 'n': 60, 'shap_error': 7.421094839051697e-05, 'shap_norm_sq': 7.033894026962379}
{'sample_size': 300, 'difference': 20, 'noise': 0, 'n': 60, 'shap_error': 0.0037827498265010978, 'shap_norm_sq': 8.870459979420904}
{'sample_size': 600, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.0014897073858171016, 'shap_norm_sq': 8.870459979420904}
{'sample_size': 1200, 'difference': -18, 'noise': 0, 'n': 60, 'shap_error': 0.000465831032593769, 'shap_norm_sq': 8.870459979420904}
{'sample_size': 2400, 'difference': 116, 'noise': 0, 'n': 60, 'shap_error': 0.00036139260054809344, 'shap_norm_sq': 8.870459979420904}
{'sample_size': 4800, 'difference': 88, 'noise': 0, 'n': 60, 'shap_error': 0.00015527024401781447, 'shap_norm_sq': 8.870459979420904}
{'sample_size': 9600, 'difference': 52, 'noise': 0, 'n': 60, 'shap_error': 9.207302364318016e-05, 'shap_norm_sq': 8.870459979420904}
{'sample_size': 300, 'difference': 6, 'noise': 0, 'n': 60, 'shap_error': 6.606343654317091e-14, 'shap_norm_sq': 5.939340898102209}
{'sample_size': 600, 'difference': 10, 'noise': 0, 'n': 60, 'shap_error': 3.5640884701141856e-14, 'shap_norm_sq': 5.939340898102209}
{'sample_size': 1200, 'difference': -18, 'noise': 0, 'n': 60, 'shap_error': 3.327343292185015e-14, 'shap_norm_sq': 5.939340898102209}
{'sample_size': 2400, 'difference': -18, 'noise': 0, 'n': 60, 'shap_error': 2.4480681448842216e-14, 'shap_norm_sq': 5.939340898102209}
{'sample_size': 4800, 'difference': 50, 'noise': 0, 'n': 60, 'shap_error': 2.3647991244460192e-14, 'shap_norm_sq': 5.939340898102209}
{'sample_size': 9600, 'difference': 34, 'noise': 0, 'n': 60, 'shap_error': 2.5821888814088628e-14, 'shap_norm_sq': 5.939340898102209}
