{'sample_size': 1010, 'difference': -22, 'noise': 0, 'n': 101, 'shap_error': 0.07206494000141728, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 2020, 'difference': -64, 'noise': 0, 'n': 101, 'shap_error': 0.028400000100002414, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 4040, 'difference': -12, 'noise': 0, 'n': 101, 'shap_error': 0.01808815996326547, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 8080, 'difference': 38, 'noise': 0, 'n': 101, 'shap_error': 0.005945583398494513, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 16160, 'difference': -260, 'noise': 0, 'n': 101, 'shap_error': 0.0028364944598731345, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 505, 'difference': 3, 'noise': 0, 'n': 101, 'shap_error': 0.013908253551492323, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 1010, 'difference': -16, 'noise': 0, 'n': 101, 'shap_error': 0.00922452091362073, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 2020, 'difference': -24, 'noise': 0, 'n': 101, 'shap_error': 0.00312861514277168, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 4040, 'difference': -110, 'noise': 0, 'n': 101, 'shap_error': 0.0013587040375694732, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 8080, 'difference': -32, 'noise': 0, 'n': 101, 'shap_error': 0.0009799230534278764, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 16160, 'difference': -122, 'noise': 0, 'n': 101, 'shap_error': 0.0003661993756140381, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 505, 'difference': 5, 'noise': 0, 'n': 101, 'shap_error': 0.033922764644438434, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 1010, 'difference': -14, 'noise': 0, 'n': 101, 'shap_error': 0.013732052299805073, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 2020, 'difference': 26, 'noise': 0, 'n': 101, 'shap_error': 0.006859302184050003, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 4040, 'difference': -26, 'noise': 0, 'n': 101, 'shap_error': 0.002572743951213893, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 8080, 'difference': -142, 'noise': 0, 'n': 101, 'shap_error': 0.0017977378316643819, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 16160, 'difference': -164, 'noise': 0, 'n': 101, 'shap_error': 0.0007242908348262713, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 505, 'difference': -19, 'noise': 0, 'n': 101, 'shap_error': 0.011316525167674505, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 1010, 'difference': -8, 'noise': 0, 'n': 101, 'shap_error': 0.00655807396752088, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 2020, 'difference': -68, 'noise': 0, 'n': 101, 'shap_error': 0.0029110096147717543, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 4040, 'difference': -28, 'noise': 0, 'n': 101, 'shap_error': 0.0010672302889339744, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 8080, 'difference': -72, 'noise': 0, 'n': 101, 'shap_error': 0.0006482443601918679, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 16160, 'difference': 80, 'noise': 0, 'n': 101, 'shap_error': 0.0002424286600408308, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 505, 'difference': 29, 'noise': 0, 'n': 101, 'shap_error': 0.00013084499819342312, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 1010, 'difference': -4, 'noise': 0, 'n': 101, 'shap_error': 4.461746653008987e-05, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 2020, 'difference': -40, 'noise': 0, 'n': 101, 'shap_error': 2.3202806392709567e-05, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 4040, 'difference': -46, 'noise': 0, 'n': 101, 'shap_error': 1.3685501274080028e-05, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 8080, 'difference': -74, 'noise': 0, 'n': 101, 'shap_error': 5.282151602595807e-06, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 16160, 'difference': -116, 'noise': 0, 'n': 101, 'shap_error': 2.167689262036107e-06, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 505, 'difference': -7, 'noise': 0, 'n': 101, 'shap_error': 0.014353488951075603, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 1010, 'difference': 46, 'noise': 0, 'n': 101, 'shap_error': 0.005138073057824221, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 2020, 'difference': -6, 'noise': 0, 'n': 101, 'shap_error': 0.0020516746558065404, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 4040, 'difference': -46, 'noise': 0, 'n': 101, 'shap_error': 0.0012149985511743814, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 8080, 'difference': 18, 'noise': 0, 'n': 101, 'shap_error': 0.0004454794922612093, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 16160, 'difference': 2, 'noise': 0, 'n': 101, 'shap_error': 0.0002441273256157547, 'shap_norm_sq': 72623.21294999527}
{'sample_size': 505, 'difference': -9, 'noise': 0, 'n': 101, 'shap_error': 0.04017429513348985, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 1010, 'difference': 10, 'noise': 0, 'n': 101, 'shap_error': 0.015135565846337596, 'shap_norm_sq': 585818.9618428921}
{'sample_size': 2020, 'difference': -24, 'noise': 0, 'n': 101, 'shap_error': 0.007083420682711114, 'shap_norm_sq': 585818.9618428921}
