{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0038275663820418722, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001606710639126736, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0007048778117528233, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0003820750603614847, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00014691223767364383, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 8.587102143072282e-05, 'shap_norm_sq': 69.23714589372352}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0005636799118150021, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00018090612039848352, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 6.383327409456573e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 4.11094902858726e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.7096811892715435e-05, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 8.426036500789077e-06, 'shap_norm_sq': 20.065578469079746}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.001310745513368931, 'shap_norm_sq': 252.03554771036144}
