{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 2.203181477212755e-07, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0001666279717791, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 4.8745374699201985e-08, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0000368939297553, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 1.2547249368751011e-06, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0009488721732978, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.788761001476809e-07, 'shap_norm_sq': 1.0467250462509752, 'weighted_error': 1.0001353797149375, 'gamma': 0.0017364859987072058, 'normalized_gamma': 0.0017}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 1.3330164124719403e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872859458, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.2585406221284013e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872307562, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 1.2979834406358172e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.999999887230756, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 1.275169230265206e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872439327, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 1.2819146942913664e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872125997, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.304326967641746e-07, 'shap_norm_sq': 2.286492242407021e-06, 'weighted_error': 0.9999998872301102, 'gamma': 0.9906634745244928, 'normalized_gamma': 430000.0}
