{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.054514482060121036), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0642862791708598)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005281206713522977), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.006227861107354)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0016219637533212963), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.00191270482829)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.112247044162505e-06), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.000004849568448)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.1229142002973876e-14), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(0.9999999999999885)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.2687549292846179e-14), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(0.9999999999999878)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8418017352170643), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(29.47696841456377)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8274201070550009), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(28.990458359762304)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8119788719870464), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(28.468103333884116)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.6805171075621421), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(24.02093700500241)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.19404093660908658), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(7.5641335241746575)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00231072586858522), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1.0781691102978905)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0003344839975205951), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1.0113151439118915)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.9027791170059462e-05), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1.0006436811508326)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.4460763254261484e-06), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1.000082742564636)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(9.623687155764897e-09), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1.000000325859357)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.32052893961937e-14), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(0.999999999997898)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9594233315433071), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(3.4621397809843875)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5584557553195999), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(2.4331484137551245)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9326626083973969), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(3.3934645744341547)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.42352511814023924), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(2.0868798692148207)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.010833009058300038), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.0278004044519484)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0009476414710350666), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.0024319068489655)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0006141146727025022), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.0015759951677423)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.0039182129433804e-05), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.000051425750346)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.226124723728286e-05), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(1.0000314665069565)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.8082388546540676e-14), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(0.9999999999999583)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.803607622232524e-14), 'shap_norm_sq': np.float64(0.005799487863887292), 'weighted_error': np.float64(0.9999999999999586)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9179711902877609), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(8.861543440336733)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9177842743786386), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(8.859942692273115)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9102749052542692), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(8.795632114778586)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7283251357257026), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(7.237406780089815)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.004845117655165314), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.0414938169094967)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.002968404124762029), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.0254215877899828)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0004370871314635301), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(1.003743236993409)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.054918659575022e-14), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(0.9999999999998389)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.8625194157133754e-14), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(0.9999999999998312)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.7866817312463962e-14), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(0.99999999999983)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.863293048002622e-14), 'shap_norm_sq': np.float64(0.05532187832728419), 'weighted_error': np.float64(0.9999999999998306)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9185030905268303), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(6.525400154370815)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9110942971886775), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(6.480831366325724)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8677084337614855), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(6.219836896414417)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.5162011956971729), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(4.105289870781276)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.053885861280415996), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.3241589926234159)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.009822906211372495), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.059091169890008)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00795376299097551), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(1.0478470609643151)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.1953801387044634e-14), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(0.9999999999998646)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.451367907470176e-14), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(0.9999999999998457)}
